A R S Sport Strip - Belle Plaine, MN
Arlington Municipal - Arlington, SD
Arlington Municipal - Arlington, WA
Arlington Municipal Airport - Arlington, TX
Army Air Field Heliport - Fort Devens, MA
Arner Memorial - Lehighton, PA
Arness Lake - Kenai, AK
Arnold - Croswell, MI
Arnold - Halls, TN
Arnold Afb - Tullahoma, TN
Arnold Air Force Base - Tullahoma, TN
Arrowhead - Canadian, OK
Artesia Airport - Artesia, NM
Arthur - Arthur, ND
Arthur - Fayette, AL
Arthur Municipal - Arthur, NE
Asbury Park Airport - Asbury Park, NJ
Ashe Co - Jefferson, NC
Asheboro Municipal - Asheboro, NC
Asheville Regional Airport - Asheville, NC
Ashland Airport - Ashland, WI
Ashland Co - Ashland, OH
Ashland Mun-Parker - Ashland, OR
Ashland-Boyd Co - Ashland, KY
Ashland-Lineville - Ashland-Lineville, AL
Ashley - Morris, OK
Ashley Airport - Ashley, ND
Ashtabula Airport - Jefferson, OH
Ashtabula Co - Ashtabula, OH
Aspen Airport - Aspen, CO
Astoria Airport - Astoria, OR
Athens Airport - Athens, GA
Athens Municipal - Athens, TX
Atka Airport - Atka, AK
Atlanta - Atlanta, ID
Atlanta Municipal - Atlanta, MI
Atlantic City International Airport - Atlantic City, NJ
Atlantic Municipal Airport - Atlantic, IA
Atmautluak Airport - Atmautluak, AK
Atmore Municipal - Atmore, AL
Atoka Municipal - Atoka, OK
Atqasuk Airport - Atqasuk, AK
Attala County Airport - Kosciusko, MS
Atwood Lodge - Dellroy, OH
Atwood-Rawlins Co City-Co - Atwood, KS
Auburn Airport - Auburn, CA
Auburn Airport - Auburn, ME
Auburn Municipal Airport - Auburn, WA
Auburn-Opelika Airport - Auburn, AL
Audubon Co - Audubon, IA
Augusta - Augusta, MT
Augusta Airport - Augusta, ME
Augusta Municipal - Augusta, KS
Ault Field - Whidbey Island, WA
Aurora Airport - Aurora, CO
Aurora Memorial Municipal - Aurora, MO
Aurora Municipal - Aurora, NE
Aurora Municipal Airport - Aurora, IL
Aurora State - Aurora, OR
Austin Airport - Austin, MN
Austin Airport - Austin, NV
Austin Lake - Kalamazoo, MI
Austin Straubel International Airport - Green Bay, WI
Austin-Bergstrom International Airport - Austin, TX
Autauga Co - Prattville, AL
Ava Martin Memorial - Ava, MO
Avalon Bay Airport - Catalina Island, CA
Avalon Vor/WP Airport - Catalina Island, CA
Avery Co - Spruce Pine, NC
Avey Field State - Laurier, WA
Avi Suquilla - Parker, AZ
Avon Park Municipal Airport - Avon Park, FL
Avra Valley Airport - Tucson, AZ
Aztec Municipal - Aztec, NM
Babb - Babb, MT
Baca Grande Airport - Baca Grande, CO
Backus Municipal - Backus, MN
Bacon Co - Alma, GA
Badami Airstrip - Badami, AK
Bader Field - Atlantic City, NJ
Bagdad Airport - Bagdad, AZ
Bagley Municipal - Bagley, MN
Bailes - Angleton, TX
Baker - Baker, CA
Baker - Hohenwald, TN
Baker - Millington, TN
Baker Airport - Baker, OR
Baker Army Air Field - Baker Island, AK
Baker Municipal - Baker, MT
Bakersfield Municipal - Bakersfield, CA
Bald Knob Municipal - Bald Knob, AR
Baldwin County Airport - Milledgeville, GA
Baldwin Municipal - Baldwin, MI
Baltimore Airpark - Baltimore, MD
Baltimore Greenbelt T Station - Baltimore, MD
Baltimore/Wash International Thurgood Marshall Airport - Baltimore, MD
Bamberg Co - Bamberg, SC
Bancroft Municipal - Bancroft, ID
Bandel - Eighty Four, PA
Bandera State - Bandera, WA
Bandit Field Airdrome - Clyde, OH
Bangor International Airport - Bangor, ME
Banning Airport - Banning, CA
Bar Harbor Airport - Bar Harbor, ME
Baraboo Wisconsin Dells - Baraboo, WI
Barber - Alliance, OH
Barbers Point Naval Station - Barbers Point, HI
Barin Olf Osn Airport - Foley, AL
Barking Sands Airport - Kekaha, HI
Barkley Regional Airport - Paducah, KY
Barksdale Air Force Base - Shreveport, LA
Barnes Airport - Hartford, CT
Barnes Co Municipal - Valley City, ND
Barnesville Municipal - Barnesville, MN
Barnesville-Bradfield - Barnesville, OH
Barnett Memorial - Mt Morris, IL
Barnstable Airport - Hyannis, MA
Barnwell County Airport - Barnwell, SC
Barron Municipal - Barron, WI
Barstow - Midland, MI
Barstow-Daggett Airport - Daggett, CA
Barter Island Airport - Barter Island, AK
Bartlesville Airport - Bartlesville, OK
Bartlett Sea Plane Base - Gustavus, AK
Bartletts Airport - Bartletts, AK
Bartow Airport - Bartow, FL
Barwick-Lafayette - Lafayette, GA
Basin Creek - Basin Creek, AK
Basin Harbor - Vergennes, VT
Bass Memorial - Lumberton, MS
Batesville Municipal Airport - Batesville, AR
Baton Rouge Downtown Airport - Baton Rouge, LA
Battery Park City/North Cove Sea Plane Base - New York, NY
Battle Creek International Airport - Kalamazoo, MI
Baublitz Commercial - Brogue, PA
Baudette Airport - Baudette, MN
Baxley Municipal - Baxley, GA
Bay Bridge - Stevensville, MD
Bay City Airport - Bay City, TX
Bay County Airport - Panama City, FL
Bay Minette Municipal - Bay Minette, AL
Bayfield Co - Iron River, WI
Bayport - Bayport, NY
Baytown Airport - Baytown, TX
Beach - Beach, ND
Beach - Charlotte, MI
Beach City - Beach City, OH
Beale Air Force Base - Marysville, CA
Bean Blossom - New Lathrop, MI
Bear Creek - Mt Pleasant, NC
Bear Creek Airport - Bear Creek, AK
Bear Lake Co - Paris, ID
Bear Trap - Minidoka, ID
Bearce - Mount Ida, AR
Beatrice Municipal Airport - Beatrice, NE
Beatty Airport - Beatty, NV
Beaufort Co - Beaufort, SC
Beaumont Municipal Airport - Beaumont, TX
Beauregard Parish Airport - De Ridder, LA
Beaver Airport - Beaver, AK
Beaver Falls Airport - Beaver Falls, PA
Beaver I - Beaver I, MI
Beaver Inlet Sea Port - Beaver Inlet, AK
Beaver Marsh State - Beaver Marsh, OR
Beaver Municipal - Beaver, OK
Beaver Municipal - Beaver, UT
Beaver Ruin Heliport - Atlanta, GA
Beckley Airport - Beckley, WV
Bedford Co - Bedford, PA
Bedford Municipal - Bedford, IA
Beech Airport - Wichita, KS
Beeville Municipal - Beeville, TX
Beicker Ranch - Seguin, TX
Belfast Municipal - Belfast, ME
Belle Creek - Belle Creek, MT
Belle Fourche Municipal - Belle Fourche, SD
Belle Glade State - Belle Glade, FL
Belle Plaine Municipal - Belle Plaine, IA
Bellefontaine Municipal - Bellefontaine, OH
Bellefontaine Regional Airport - Bellefontaine, OH
Bellefonte - Bellefonte, PA
Belleville Municipal - Belleville, KS
Bellingham Airport - Bellingham, WA
Bellows Field - Waimanalo, HI
Belmond Municipal - Belmond, IA
Beloit - Beloit, WI
Beltzville - Lehighton, PA
Beluga Airport - Beluga, AK
Belzoni Municipal - Belzoni, MS
Bemidji Airport - Bemidji, MN
Benchmark - Benchmark, MT
Bend Municipal - Bend, OR
Bendigo - Tower City, PA
Benedum Airport - Clarksburg, WV
Benger - Friona, TX
Bennett - Salisbury, MD
Bennett - Weston, WV
Bennettsville Airport - Bennettsville, SC
Benson Municipal - Benson, AZ
Benson Municipal Airport - Benson, MN
Benton - Benton, KS
Benton - Redding, CA
Benton Co - Camden, TN
Benton Municipal - Benton, IL
Bentonville Municipal/Thaden - Bentonville, AR
Berkeley - Berkeley, CA
Berkeley Co - Moncks Corner, SC
Berlin Airport - Berlin, NH
Bermuda Dunes Airport - Palm Springs, CA
Bermudian Valley - Kralltown, PA
Bernard Usfs - Bernard, ID
Berrien Co - Nashville, GA
Berry Hill - Stockbridge, GA
Berz-Macomb Airport - Utica, MI
Bessemer - Bessemer, AL
Bethany Memorial - Bethany, MO
Bethel Airport - Bethel, AK
Bethel City Landing - Bethel, AK
Bettles Airport - Bettles, AK
Betz - Blissfield, MI
Beulah - Beulah, ND
Beverly Municipal Airport - Beverly, MA
Bibb Co - Centreville, AL
Bicycle Lake Army Air Field - Fort Irwin, CA
Biddeford Municipal - Biddeford, ME
Big Bear City Airport - Big Bear, CA
Big Creek - Big Creek, ID
Big Creek Airport - Big Creek, AK
Big Falls Municipal - Big Falls, MN
Big Foot - Walworth, WI
Big Lake Airport - Big Lake, AK
